음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
마포나루 도화본점,한식,3.5870786,서울 마포구 도화동 201-39,비파티세리 공덕점,서울 마포구 공덕동 105-67,3.6304932,캡션서울,서울 용산구 원효로1가 28-3,용마루길,서울 용산구 용문동 36-17,롯데시티호텔 마포,호텔,3.5548587,서울 마포구 공덕동 467
현래장,중식,3.51586,서울 마포구 마포동 140,이디야커피 오벨리스크점,서울 마포구 도화동 555,3.6304932,캡션서울,서울 용산구 원효로1가 28-3,밤섬,서울 영등포구 여의도동 84-3,성도모텔,모텔,0.7619837,서울 마포구 노고산동 106-77
,,,,그로토,서울 마포구 도화동 184-22,3.6304932,숙명여자대학교 박물관,서울 용산구 청파동2가 144,마포갈매기골목,서울 마포구 도화동 169-3,앰배서더호텔 이비스스타일 서울용산,호텔,3.5548587,서울 용산구 한강로3가 40-969
,,,,메가MGC커피 마포도화점,서울 마포구 도화동 204-10,3.6304932,CJ아지트 광흥창,서울 마포구 신정동 96-29,소금길,서울 마포구 염리동 9-245,롯데시티호텔 마포,호텔,3.5548587,서울 마포구 공덕동 467
외백,중식,3.51586,서울 마포구 도화동 343-1,설빙 마포공덕점,서울 마포구 도화동 179-11,3.6304932,행복한예술재단 행복한홀,서울 마포구 대흥동 32-18,용강상점가,서울 마포구 용강동 40-5,서울큐브이화,게스트하우스,tensor(1.7619),서울 마포구 염리동 9-124
외백,중식,3.51586,서울 마포구 도화동 343-1,빽다방 공덕역새창로점,서울 마포구 도화동 25-5,3.6304932,캡션서울,서울 용산구 원효로1가 28-3,한강,서울 영등포구 여의도동,성도모텔,모텔,0.7619837,서울 마포구 노고산동 106-77
능라도 마포점,한식,3.5870786,서울 마포구 마포동 33-1,스타벅스 공덕오거리점,서울 마포구 도화동 22,3.6304932,DMZ문화원,서울 마포구 공덕동 404,소금길,서울 마포구 염리동 9-245,서울가든호텔,호텔,3.5548587,서울 마포구 도화동 169-1
램랜드,한식,3.5870786,서울 마포구 용강동 494-32,비파티세리 공덕점,서울 마포구 공덕동 105-67,3.6304932,DMZ문화원,서울 마포구 공덕동 404,마포전골목,서울 마포구 공덕동,성도모텔,모텔,0.7619837,서울 마포구 노고산동 106-77
현래장,중식,3.51586,서울 마포구 마포동 140,커피향깊은그한옥,서울 마포구 염리동 157-12,3.6304932,백범김구기념관,서울 용산구 효창동 255,도화동상점가,서울 마포구 도화동 179-5,앰배서더호텔 노보텔스위트 서울용산,호텔,3.5548587,서울 용산구 한강로3가 40-969
,,,,비엔나커피하우스 마포신한디엠점,서울 마포구 마포동 33-1,3.6304932,백범김구기념관,서울 용산구 효창동 255,소금길,서울 마포구 염리동 9-245,서울드래곤시티,호텔,3.5548587,서울 용산구 한강로3가 40-969
