음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
이요이요스시 공덕1호점,일식,3.3663697,서울 마포구 공덕동 469,포멜로빈 공덕점,서울 마포구 공덕동 478,3.7411656,아트스페이스 라프,서울 서대문구 북아현동 177-1,이대앞사주카페거리,서울 서대문구 대현동,필스테이 이화부띠끄점,게스트하우스,1.9645674,서울 서대문구 대현동 56-126
동신참치 공덕점,일식,3.3663697,서울 마포구 공덕동 462,비파티세리 공덕점,서울 마포구 공덕동 105-67,3.7411656,행복한예술재단 행복한홀,서울 마포구 대흥동 32-18,연세로,서울 서대문구 창천동,유에이치스위트 더서울,호텔,3.6920824,서울 중구 만리동1가 33-1
신성각,중식,3.5411124,서울 마포구 신공덕동 2-463,아이엠베이글 공덕점,서울 마포구 공덕동 476,3.7411659,스페이스간,서울 마포구 염리동 147-2,소금길,서울 마포구 염리동 9-245,비욘드스위트,호텔,3.6920824,서울 서대문구 대현동 101-9
몽중헌 공덕점,중식,3.5411124,서울 마포구 도화동 25-13,스트레토,서울 마포구 공덕동 242-44,3.7411656,히든플레이스,서울 서대문구 대현동 53-10,염천교수제화거리,서울 중구 의주로2가 61-23,라마다호텔앤스위트 서울남대문,호텔,3.6920824,서울 중구 순화동 151
37.5익스프레스 마포공덕점,양식,3.1337585,서울 마포구 공덕동 175-139,스타벅스 아현역점,서울 서대문구 북아현동 1015,3.7411656,숙명여자대학교 정영양자수박물관,서울 용산구 청파동2가 144,신촌피아노거리,서울 서대문구 창천동 30-16,프레이저플레이스 센트럴서울,호텔,3.6920824,서울 중구 순화동 214
37.5익스프레스 마포공덕점,양식,3.1337585,서울 마포구 공덕동 175-139,만리커피,서울 마포구 공덕동 119-41,3.7411656,그라운드시소 센트럴,서울 중구 남대문로5가 831,서울명예도로 남이장군로,서울 용산구 신창동 56-1,금강모텔,모텔,0.6287633,서울 용산구 서계동 229-3
신성각,중식,3.5411124,서울 마포구 신공덕동 2-463,빽다방 마포경찰서점,서울 마포구 아현동 618-8,3.7411656,고촌홀,서울 서대문구 충정로3가 368-2,염천교수제화거리,서울 중구 의주로2가 61-23,필스테이 이화부띠끄점,게스트하우스,1.9645674,서울 서대문구 대현동 56-126
,,,,코너50,서울 마포구 공덕동 117-5,3.7411656,고촌홀,서울 서대문구 충정로3가 368-2,서울명예도로 프랑스로,서울 서대문구 충정로3가 465,서울큐브이화,게스트하우스,1.9645674,서울 마포구 염리동 9-124
탑클라우드23,양식,3.1337585,서울 마포구 공덕동 471,디저트39 북아현점,서울 서대문구 북아현동 154-5,3.7411656,그라운드시소 센트럴,서울 중구 남대문로5가 831,노고산,서울 마포구 대흥동 산 1-30,신촌월호텔,모텔,0.6287633,서울 서대문구 대현동 104-15
,,,,투썸플레이스 공덕풍림빌딩점,서울 마포구 공덕동 404,3.7411656,고촌홀,서울 서대문구 충정로3가 368-2,열정도,서울 용산구 원효로1가 44-11,디케이하우스,게스트하우스,1.9645675,서울 서대문구 대현동 90-37
,,,,더컴포트커피,서울 마포구 공덕동 115-4,3.7411656,스페이스간,서울 마포구 염리동 147-2,신촌대학탐방나들길,서울 서대문구 대현동,서울가든호텔,호텔,3.6920824,서울 마포구 도화동 169-1
뚜띠쿠치나 공덕점,양식,3.1337585,서울 마포구 공덕동 249-36,티앙팡 오후에 홍차 1호점,서울 서대문구 대현동 54-4,3.7411656,서울일삼,서울 용산구 동자동 43-138,공덕소담길,서울 마포구 공덕동,랑호텔,모텔,0.6287633,서울 중구 중림동 128-40
동신참치 공덕점,일식,3.3663697,서울 마포구 공덕동 462,스튜디오123,서울 마포구 아현동 424-23,3.7411656,DGT아트센터,서울 마포구 염리동 172-15,마포갈매기골목,서울 마포구 도화동 169-3,유에이치스위트 더서울,호텔,3.6920824,서울 중구 만리동1가 33-1
몽중헌 공덕점,중식,3.5411124,서울 마포구 도화동 25-13,더컴포트커피,서울 마포구 공덕동 115-4,3.7411656,추계예술대학교 콘서트홀,서울 서대문구 북아현동 190-1,삼거리꽃길,서울 서대문구 대현동,에버8,호텔,3.6920824,서울 서대문구 대현동 104-5
,,,,만리커피,서울 마포구 공덕동 119-41,3.7411656,예스24 원더로크홀,서울 서대문구 창천동 20-25,열정도,서울 용산구 원효로1가 44-11,프레이저플레이스 센트럴서울,호텔,3.6920824,서울 중구 순화동 214
마포소문난원조족발,한식,3.733409,서울 마포구 공덕동 256-11,몬떼비 서울,서울 마포구 공덕동 373-16,3.7411656,식민지역사박물관,서울 용산구 청파동2가 42-8,서울명예도로 남이장군로,서울 용산구 신창동 56-1,금강모텔,모텔,0.6287633,서울 용산구 서계동 229-3
,,,,스타벅스 아현역점,서울 서대문구 북아현동 1015,3.7411656,도킹서울,서울 중구 봉래동2가 122-11,이화52번가,서울 서대문구 대현동 33-9,서울큐브이화,게스트하우스,1.9645674,서울 마포구 염리동 9-124
,,,,이디야커피 공덕점,서울 마포구 공덕동 249-25,3.7411656,서강대학교 메리홀 대극장,서울 마포구 신수동 1-1,신촌대학탐방나들길,서울 서대문구 대현동,디케이하우스,게스트하우스,1.9645675,서울 서대문구 대현동 90-37
뚜띠쿠치나 공덕점,양식,3.1337585,서울 마포구 공덕동 249-36,메가MGC커피 서울공덕초교점,서울 마포구 신공덕동 15-15,3.7411656,행복한예술재단 행복한홀,서울 마포구 대흥동 32-18,신촌피아노거리,서울 서대문구 창천동 30-16,소라모텔,모텔,0.6287633,서울 서대문구 대현동 101-15
명인등심 마포공덕 직영점,한식,3.733409,서울 마포구 공덕동 252-5,스타벅스 마포염리점,서울 마포구 염리동 168-9,3.7411656,손기정기념관,서울 중구 만리동2가 6-1,소금길,서울 마포구 염리동 9-245,필스테이 이화부띠끄점,게스트하우스,1.9645674,서울 서대문구 대현동 56-126
37.5익스프레스 마포공덕점,양식,3.1337585,서울 마포구 공덕동 175-139,몬떼비 서울,서울 마포구 공덕동 373-16,3.7411656,마포아트센터 스튜디오3,서울 마포구 대흥동 30-3,마포전골목,서울 마포구 공덕동,서울가든호텔,호텔,3.6920824,서울 마포구 도화동 169-1
몽중헌 공덕점,중식,3.5411124,서울 마포구 도화동 25-13,쿠도스커피로스터즈,서울 마포구 공덕동 105-67,3.7411659,숙명여자대학교 박물관,서울 용산구 청파동2가 144,마포음식문화거리,서울 마포구 용강동 45-15,호텔모모,모텔,0.6287633,서울 서대문구 창천동 20-38
봉평옹심이메밀칼국수,한식,3.733409,서울 마포구 공덕동 242-90,코너50,서울 마포구 공덕동 117-5,3.7411656,김세중미술관,서울 용산구 효창동 5-390,노고산,서울 마포구 대흥동 산 1-30,금강모텔,모텔,0.6287633,서울 용산구 서계동 229-3
신성각,중식,3.5411124,서울 마포구 신공덕동 2-463,할리스 공덕점,서울 마포구 공덕동 462,3.7411656,추계예술대학교 콘서트홀,서울 서대문구 북아현동 190-1,연세대학교 백양로,서울 서대문구 신촌동 134,서울큐브이화,게스트하우스,1.9645674,서울 마포구 염리동 9-124
,,,,스타벅스 아현역대로점,서울 마포구 아현동 330-5,3.7411656,북아현문화체육센터 아트홀,서울 서대문구 북아현동 1012-2,공덕소담길,서울 마포구 공덕동,밀레니엄힐튼 서울(22년12월31일 영업종료),호텔,3.6920824,서울 중구 남대문로5가 395
37.5익스프레스 마포공덕점,양식,3.1337585,서울 마포구 공덕동 175-139,스타벅스 공덕오거리점,서울 마포구 도화동 22,3.7411656,그라운드시소 센트럴,서울 중구 남대문로5가 831,용강상점가,서울 마포구 용강동 40-5,H에비뉴호텔 신촌이대점,호텔,3.6920824,서울 마포구 노고산동 1-74
