음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
,,,,커피가게동경,서울 마포구 망원동 410-1,3.6123698,DMC홍보관,서울 마포구 상암동 1612,마포난지생명길,서울 마포구 상암동,성산모텔,모텔,0.77793276,서울 마포구 성산동 632-6
,,,,당인리책발전소,서울 마포구 서교동 475-26,3.6123695,DMC홍보관,서울 마포구 상암동 1612,도영숲,서울 마포구 상암동 482-204,L7 홍대,호텔,3.5449352,서울 마포구 동교동 160-5
카페나하,일식,3.397603,서울 마포구 망원동 398-2,이디야커피 마포구청점,서울 마포구 성산동 591-4,3.6123695,전쟁과여성인권박물관,서울 마포구 성산동 39-13,난지도길,서울 마포구 성산동,성미모텔,모텔,0.77793276,서울 마포구 성산동 252-4
,,,,허니빙스,서울 마포구 망원동 435-44,3.6123698,건담이지키는작업실,서울 마포구 서교동 352-19,평화의공원 난지연못,서울 마포구 성산동,성미모텔,모텔,0.77793276,서울 마포구 성산동 252-4
,,,,종이꽃 책방,서울 마포구 성산동 277-1,3.6123698,아트스페이스 합정,서울 마포구 합정동 394-7,문빈 숲 3호,서울 마포구 상암동 482-220,DW디자인레지던스,게스트하우스,1.7168553,서울 마포구 동교동 203-47
강동원,중식,3.5037732,서울 마포구 망원동 453-43,레귤러서비스,서울 마포구 망원동 424-18,3.6123695,어거스트 엘리오,서울 마포구 망원동 409-41,박시환숲,서울 마포구 상암동 1535,아만티호텔서울,호텔,3.5449352,서울 마포구 서교동 447-1
목포낙지마을,한식,3.5745883,서울 마포구 성산동 278-41,키오스크,서울 마포구 망원동 57-194,3.6123698,망원동수장고 소통,서울 마포구 망원동 432-3,망리단길,서울 마포구 망원동,아만티호텔서울,호텔,3.5449352,서울 마포구 서교동 447-1
,,,,올웨이즈어거스트,서울 마포구 망원동 415-53,3.6123698,서울월드컵경기장 야외공연장,서울 마포구 성산동 513-7,투모로우바이투게더숲,서울 마포구 상암동 482-220,나루게스트하우스,게스트하우스,1.7168553,서울 마포구 서교동 395-149
당가원,중식,3.5037732,서울 마포구 성산동 200-38,공차 마포구청역점,서울 마포구 성산동 263-1,3.6123698,사월갤러리 홍대점,서울 마포구 성산동 210-1,평화의공원 난지연못,서울 마포구 성산동,더그레이호텔,호텔,3.5449352,서울 서대문구 남가좌동 290-140
스시린,일식,3.3976026,서울 마포구 성산동 590-5,소설원망원,서울 마포구 망원동 376-18,3.6123698,라움트,서울 마포구 서교동 467-2,서함숲,서울 마포구 상암동 487-108,나인브릭호텔,호텔,3.5449352,서울 마포구 서교동 354-10
