음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
육시리 마포직영점,한식,3.551354,서울 마포구 용강동 50-11,브루니치,서울 마포구 공덕동 476,3.5703058,KT&G상상마당 홍대,서울 마포구 서교동 367-5,용강상점가,서울 마포구 용강동 40-5,호텔모모,모텔,0.7923341,서울 서대문구 창천동 20-38
,,,,그로토,서울 마포구 도화동 184-22,3.5703058,띠아트,서울 마포구 서교동 358-121,도화동상점가,서울 마포구 도화동 179-5,글래드 마포,호텔,3.5273962,서울 마포구 도화동 25-13
매일스시횟집,일식,3.3697042,서울 마포구 염리동 95-1,누아네,서울 마포구 대흥동 241-1,3.5703058,극장PLOT,서울 서대문구 창천동 13-21,홍대클럽거리,서울 마포구 서교동 361-12,글래드 마포,호텔,3.5273962,서울 마포구 도화동 25-13
봉피양 마포점,한식,3.551354,서울 마포구 용강동 50-3,커피크레페 본점,서울 서대문구 창천동 30-10,3.5703058,이화여자대학교 삼성홀,서울 서대문구 대현동 11-1,용마루길,서울 용산구 용문동 36-17,H에비뉴호텔 신촌이대점,호텔,3.5273962,서울 마포구 노고산동 1-74
,,,,스타벅스 서강대점,서울 마포구 신수동 63-14,3.5703058,스페이스한강,서울 마포구 창전동 6-133,홍대벽화거리,서울 마포구 상수동 88-23,브라운스위트호텔 신촌센트럴,호텔,3.5273962,서울 마포구 노고산동 57-26
,,,,커피향깊은그한옥,서울 마포구 염리동 157-12,3.5703058,우주정거장,서울 마포구 서교동 328-13,용마루길,서울 용산구 용문동 36-17,서울큐브이화,게스트하우스,1.6099991,서울 마포구 염리동 9-124
,,,,비로소커피,서울 마포구 신수동 85-19,3.5703058,대안공간 루프,서울 마포구 서교동 335-11,용강상점가,서울 마포구 용강동 40-5,신촌시스터즈호스텔,게스트하우스,1.6099991,서울 마포구 노고산동 106-105
락희옥 마포본점,한식,3.551354,서울 마포구 공덕동 478,카페대흥,서울 마포구 대흥동 255-2,3.5703058,긱라이브하우스,서울 마포구 동교동 185-10,홍대걷고싶은거리,서울 마포구 서교동 348-40,호텔가을,모텔,0.7923341,서울 서대문구 창천동 29-41
램랜드,한식,3.551354,서울 마포구 용강동 494-32,크리크,서울 마포구 신수동 22-14,3.5703058,AC'SCENT(악센트),서울 서대문구 창천동 52-23,홍대걷고싶은거리,서울 마포구 서교동 348-40,서울큐브이화,게스트하우스,1.6099991,서울 마포구 염리동 9-124
,,,,스타벅스 서강대흥역점,서울 마포구 대흥동 111-1,3.5703058,우주정거장,서울 마포구 서교동 328-13,홍대걷고싶은거리,서울 마포구 서교동 348-40,로이넷호텔 서울마포,호텔,3.5273962,서울 마포구 도화동 573
몽중헌 공덕점,중식,3.4675794,서울 마포구 도화동 25-13,그로토,서울 마포구 도화동 184-22,3.5703058,포스트극장,서울 마포구 창전동 5-92,공덕소담길,서울 마포구 공덕동,서울큐브이화,게스트하우스,1.6099991,서울 마포구 염리동 9-124
일일향 마포점,중식,3.4675794,서울 마포구 도화동 179-2,스테이웰카페,서울 마포구 공덕동 476,3.5703058,아트레온갤러리,서울 서대문구 창천동 20-25,신촌피아노거리,서울 서대문구 창천동 30-16,서울큐브이화,게스트하우스,1.6099991,서울 마포구 염리동 9-124
,,,,비로소커피,서울 마포구 신수동 85-19,3.5703058,백범김구기념관,서울 용산구 효창동 255,와우산,서울 마포구 창전동 3-243,호텔모모,모텔,0.7923341,서울 서대문구 창천동 20-38
,,,,스타벅스 마포일진빌딩점,서울 마포구 도화동 50-1,3.5703058,마포아트센터 갤러리맥,서울 마포구 대흥동 30-3,홍대클럽거리,서울 마포구 서교동 361-12,신촌시스터즈호스텔,게스트하우스,1.6099991,서울 마포구 노고산동 106-105
일일향 마포점,중식,3.4675794,서울 마포구 도화동 179-2,포니테일,서울 마포구 신수동 85-16,3.5703058,노무현사료관,서울 마포구 신수동 371-16,와우산,서울 마포구 창전동 3-243,에버8,호텔,3.5273962,서울 서대문구 대현동 104-5
,,,,카페겟앤쇼 공덕점,서울 마포구 도화동 572,3.5703058,이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1,서울명예도로 남이장군로,서울 용산구 신창동 56-1,에버8,호텔,3.5273962,서울 서대문구 대현동 104-5
함루,일식,3.3697042,서울 마포구 공덕동 478,후엘고,서울 마포구 염리동 128-8,3.5703058,이너프라운지,서울 마포구 신수동 288-9,밤섬,서울 영등포구 여의도동 84-3,굿타임호텔,모텔,0.7923341,서울 서대문구 대현동 104-41
