음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
초한초마,중식,3.5338192,서울 마포구 망원동 471-27,미지엄,서울 마포구 상암동 1258,3.7565913,서울에너지드림센터,서울 마포구 상암동 1535-3,투모로우바이투게더숲,서울 마포구 상암동 482-220,앨비어러스,호텔,3.727446,서울 마포구 망원동 405-27
상암구름산추어탕,한식,3.768805,서울 마포구 상암동 1490,쇼트 서울,서울 마포구 상암동 23-5,3.7565913,류아트센터,서울 서대문구 연희동 446-176,매봉산,서울 마포구 성산동 산 53-7,성미모텔,모텔,0.60531545,서울 마포구 성산동 252-4
,,,,셀렉토커피 마포구청역점,서울 마포구 성산동 590-4,3.7565913,서울시립 난지미술창작스튜디오,서울 마포구 상암동 481-6,투모로우바이투게더숲,서울 마포구 상암동 482-220,온천장여관,모텔,0.60531545,서울 은평구 수색동 378-1
푸차이,중식,3.5338192,서울 마포구 상암동 1622,구움소리,서울 마포구 상암동 36-41,3.7565913,더블유더블유더블유스페이스2,서울 마포구 망원동 472-12,임영웅숲,서울 마포구 상암동 482-429,앨비어러스,호텔,3.727446,서울 마포구 망원동 405-27
마야콩짜장,중식,3.5338192,서울 마포구 성산동 152-1,카페훈훈,서울 마포구 상암동 1523,3.7565913,중소기업역사관,서울 마포구 상암동 1622,정용화숲,서울 마포구 상암동 1535,연남 마리하우스,게스트하우스,1.9891574,서울 마포구 연남동 370-25
,,,,팬케이크샵커피,서울 마포구 상암동 2-194,3.7565913,벨로주 망원,서울 마포구 망원동 422-27,마포난지생명길,서울 마포구 상암동,이강가,게스트하우스,1.9891574,서울 마포구 성산동 39-14
,,,,8짱커피,서울 마포구 성산동 592,3.7565913,홀로그램전시관,서울 마포구 상암동 1606,성산,서울 마포구 성산동,온천장여관,모텔,0.60531545,서울 은평구 수색동 378-1
파스타공작소,양식,tensor(3.0972),서울 마포구 상암동 2-200,하이오커피 마포구청점,서울 마포구 성산동 593-7,3.7565913,시루뫼갤러리,서울 은평구 증산동 187-19,서함숲,서울 마포구 상암동 487-108,앨비어러스,호텔,3.727446,서울 마포구 망원동 405-27
,,,,세라젬웰카페 상암DMC점,서울 마포구 상암동 34-35,3.7565913,성미산마을극장,서울 마포구 성산동 249-10,서울둘레길 15코스 복원된 자연길,서울 마포구 상암동 482-49,더그레이호텔,호텔,3.727446,서울 서대문구 남가좌동 290-140
당가원,중식,3.5338192,서울 마포구 성산동 200-38,구움소리,서울 마포구 상암동 36-41,3.7565913,문화비축기지 공연장,서울 마포구 성산동 670,서울둘레길 15코스 복원된 자연길,서울 마포구 상암동 482-49,스탠포드호텔 서울,호텔,3.727446,서울 마포구 상암동 1587
