음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
완차이,중식,3.5432267,서울 서대문구 창천동 5-35,룸익스케이프 블랙점,서울 서대문구 창천동 18-11,3.7050295,연세대학교 노천극장,서울 서대문구 신촌동 134,홍대걷고싶은거리,서울 마포구 서교동 348-40,준게스트하우스,게스트하우스,1.9079586,서울 마포구 서교동 335-36
완차이,중식,3.5432267,서울 서대문구 창천동 5-35,카페공명 연남점,서울 마포구 동교동 146-8,3.7050295,금호아트홀연세,서울 서대문구 신촌동 134,마포전골목,서울 마포구 공덕동,홀리데이인익스프레스 서울홍대,호텔,3.6303859,서울 마포구 동교동 192-45
엠브로돈까스 신촌점,일식,3.3941836,서울 서대문구 창천동 13-16,투썸플레이스 신촌연세로점,서울 서대문구 창천동 31-27,3.7050295,자미갤러리,서울 서대문구 대현동 110-4,연세로,서울 서대문구 창천동,준게스트하우스,게스트하우스,1.9079586,서울 마포구 서교동 335-36
,,,,에이투지카페,서울 서대문구 창천동 13-14,3.7050295,서강대학교 곤자가홀,서울 마포구 대흥동 22-60,홍대예술의거리,서울 마포구 서교동,브라운스위트호텔 신촌센트럴,호텔,3.6303859,서울 마포구 노고산동 57-26
신촌형제갈비,한식,3.670209,서울 서대문구 창천동 31-26,룸익스케이프 블랙점,서울 서대문구 창천동 18-11,3.7050295,우주정거장,서울 마포구 서교동 328-13,안산자락길,서울 서대문구 봉원동,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,1.9079586,서울 서대문구 창천동 31-92
엠브로돈까스 신촌점,일식,3.3941836,서울 서대문구 창천동 13-16,스타벅스 신촌점,서울 서대문구 창천동 18-55,3.7050295,금호아트홀연세,서울 서대문구 신촌동 134,신촌이대거리,서울 서대문구 창천동,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,1.9079586,서울 서대문구 창천동 31-92
완차이,중식,3.5432267,서울 서대문구 창천동 5-35,버터밀크,서울 마포구 창전동 6-131,3.7050295,산울림소극장,서울 마포구 서교동 327-9,빚다도예공방 홍대점,서울 마포구 상수동 329-6,호텔루이,모텔,0.6758934,서울 서대문구 창천동 29-24
,,,,캐치카페 신촌,서울 서대문구 창천동 18-29,3.7050295,서강대학교 곤자가홀,서울 마포구 대흥동 22-60,홍대클럽거리,서울 마포구 서교동 361-12,에버8,호텔,3.6303859,서울 서대문구 대현동 104-5
,,,,카페공명 연남점,서울 마포구 동교동 146-8,3.7050295,띠아트,서울 마포구 서교동 358-121,홍대예술의거리,서울 마포구 서교동,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,1.9079586,서울 서대문구 창천동 31-92
,,,,할리스 신촌점,서울 서대문구 창천동 31-12,3.7050295,네이처랩스 AK플라자 홍대,서울 마포구 동교동 190-1,소금길,서울 마포구 염리동 9-245,호텔밀하우스,호텔,3.6303859,서울 서대문구 창천동 29-56
,,,,와플잇업 이대2호점,서울 서대문구 대현동 27-17,3.7050295,네이처랩스 AK플라자 홍대,서울 마포구 동교동 190-1,이대앞사주카페거리,서울 서대문구 대현동,준게스트하우스,게스트하우스,1.9079586,서울 마포구 서교동 335-36
,,,,문베어,서울 서대문구 창천동 5-21,3.7050295,포스트극장,서울 마포구 창전동 5-92,삼거리꽃길,서울 서대문구 대현동,신촌월호텔,모텔,0.6758934,서울 서대문구 대현동 104-15
라구식당,양식,3.1896348,서울 서대문구 창천동 2-44,독수리다방,서울 서대문구 창천동 31-4,3.7050295,이한열기념관,서울 마포구 노고산동 54-38,연세로,서울 서대문구 창천동,피터캣,모텔,0.6758934,서울 마포구 노고산동 106-25
기꾸스시,일식,3.3941836,서울 서대문구 창천동 72-23,커피랩,서울 마포구 서교동 327-19,3.7050295,띠아트,서울 마포구 서교동 358-121,홍대축제거리,서울 마포구 서교동 365-28,홀리데이인익스프레스 서울홍대,호텔,3.6303859,서울 마포구 동교동 192-45
,,,,미스터힐링 신촌점,서울 서대문구 창천동 20-51,3.7050295,금호아트홀연세,서울 서대문구 신촌동 134,안산숲나들길,서울 서대문구 연희동,준게스트하우스,게스트하우스,1.9079586,서울 마포구 서교동 335-36
꼬숑돈까스,일식,3.3941836,서울 서대문구 창천동 31-26,스타벅스 신촌명물거리점,서울 서대문구 창천동 13-19,3.7050295,롤링스톤즈,서울 마포구 동교동 185-1,홍대축제거리,서울 마포구 서교동 365-28,H에비뉴호텔 신촌이대점,호텔,3.6303859,서울 마포구 노고산동 1-74
복성각,중식,3.5432267,서울 서대문구 창천동 31-8,휴,서울 서대문구 창천동 18-5,3.7050295,서강대학교메리홀 소극장,서울 마포구 신수동 1-1,마포음식문화거리,서울 마포구 용강동 45-15,테마모텔,모텔,0.6758934,서울 서대문구 창천동 112-15
라구식당,양식,3.1896348,서울 서대문구 창천동 2-44,휴,서울 서대문구 창천동 18-5,3.7050295,대안공간 루프,서울 마포구 서교동 335-11,마포음식문화거리,서울 마포구 용강동 45-15,준게스트하우스,게스트하우스,1.9079586,서울 마포구 서교동 335-36
,,,,클로리스 신촌점,서울 서대문구 창천동 13-35,3.7050295,팟빵홀,서울 마포구 서교동 328-25,삼거리꽃길,서울 서대문구 대현동,굿타임호텔,모텔,0.6758934,서울 서대문구 대현동 104-41
설레임삼겹살1989,한식,3.670209,서울 서대문구 창천동 57-40,버터밀크,서울 마포구 창전동 6-131,3.7050295,신촌아리수스트로 공연장,서울 서대문구 창천동 31-119,홍대걷고싶은거리,서울 마포구 서교동 348-40,브라운스위트호텔 신촌센트럴,호텔,3.6303859,서울 마포구 노고산동 57-26
설레임삼겹살1989,한식,3.670209,서울 서대문구 창천동 57-40,룸익스케이프 블랙점,서울 서대문구 창천동 18-11,3.7050295,연세대학교 대강당,서울 서대문구 신촌동 134,서울명예도로 노벨길(경의선숲길 홍대입구역방면),서울 마포구 동교동 190-66,준게스트하우스,게스트하우스,1.9079586,서울 마포구 서교동 335-36
,,,,와플잇업 이대2호점,서울 서대문구 대현동 27-17,3.7050295,성수미술관 연남점,서울 마포구 동교동 148-9,안산벚꽃길,서울 서대문구 연희동,아늑호텔 신촌점,모텔,0.6758934,서울 서대문구 창천동 20-33
신촌서서갈비,한식,3.6702094,서울 마포구 노고산동 107-29,미네르바,서울 서대문구 창천동 13-26,3.7050295,금호아트홀연세,서울 서대문구 신촌동 134,안산자락길,서울 서대문구 봉원동,호텔모모,모텔,0.6758934,서울 서대문구 창천동 20-38
기꾸스시,일식,3.3941836,서울 서대문구 창천동 72-23,스타벅스 신촌역점,서울 서대문구 창천동 72-12,3.7050295,뉴스뮤지엄 연희점,서울 서대문구 연희동 433-6,안산,서울 서대문구 봉원동 산 1,호텔밀하우스,호텔,3.6303859,서울 서대문구 창천동 29-56
신촌고기창고,한식,3.670209,서울 서대문구 창천동 52-78,투썸플레이스 신촌연세로점,서울 서대문구 창천동 31-27,3.7050295,서강대학교메리홀 소극장,서울 마포구 신수동 1-1,마포음식문화거리,서울 마포구 용강동 45-15,테마모텔,모텔,0.6758934,서울 서대문구 창천동 112-15
타코벨 신촌점,양식,3.1896348,서울 서대문구 창천동 31-28,문베어,서울 서대문구 창천동 5-21,3.7050295,이한열기념관,서울 마포구 노고산동 54-38,홍대패션거리,서울 마포구 서교동 348-78,호텔밀하우스,호텔,3.6303859,서울 서대문구 창천동 29-56
,,,,커피빈 신촌점,서울 서대문구 창천동 18-29,3.7050295,산울림소극장,서울 마포구 서교동 327-9,홍대예술의거리 나들길,서울 마포구 창전동,호텔S,모텔,0.6758934,서울 마포구 노고산동 109-154
가화만사성,중식,3.5432267,서울 서대문구 창천동 57-8,커피빈 신촌점,서울 서대문구 창천동 18-29,3.7050295,연세대학교 노천극장,서울 서대문구 신촌동 134,한강공원 해넘이전망대,서울 영등포구 여의도동 84-6,H에비뉴호텔 신촌이대점,호텔,3.6303859,서울 마포구 노고산동 1-74
가화만사성,중식,3.5432267,서울 서대문구 창천동 57-8,독수리다방,서울 서대문구 창천동 31-4,3.7050295,이한열기념관,서울 마포구 노고산동 54-38,연세로,서울 서대문구 창천동,준게스트하우스,게스트하우스,1.9079586,서울 마포구 서교동 335-36
이빠네마그릴,양식,3.1896348,서울 서대문구 창천동 18-11,커피빈 신촌점,서울 서대문구 창천동 18-29,3.7050295,소이아트홀,서울 서대문구 창천동 57-41,스머프 매직 포레스트 홍대점,서울 마포구 동교동 170-12,H에비뉴호텔 신촌이대점,호텔,3.6303859,서울 마포구 노고산동 1-74
