음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
산동만두,중식,3.404685,서울 마포구 도화동 327-1,메가MGC커피 공덕오거리점,서울 마포구 도화동 181-1,3.5096655,마포아트센터 아트홀맥,서울 마포구 대흥동 30-3,열정도,서울 용산구 원효로1가 44-11,서울큐브이화,게스트하우스,tensor(1.4695),서울 마포구 염리동 9-124
SOUPER 마포,양식,3.1771817,서울 마포구 도화동 251-1,경성커피,서울 마포구 도화동 201-43,3.509666,이한열기념관,서울 마포구 노고산동 54-38,노고산,서울 마포구 대흥동 산 1-30,서울가든호텔,호텔,3.5025501,서울 마포구 도화동 169-1
참나무본가 공덕점,한식,3.5198789,서울 마포구 공덕동 256-42,메가MGC커피 공덕SK리더스뷰점,서울 마포구 공덕동 426-15,3.509666,숙명여자대학교 정영양자수박물관,서울 용산구 청파동2가 144,이화52번가,서울 서대문구 대현동 33-9,원효여관,모텔,0.7671373,서울 용산구 원효로2가 81-6
함루,일식,tensor(3.3101),서울 마포구 공덕동 478,메가MGC커피 공덕SK리더스뷰점,서울 마포구 공덕동 426-15,3.509666,마포아트센터 플레이맥,서울 마포구 대흥동 30-3,신촌대학탐방나들길,서울 서대문구 대현동,신촌월호텔,모텔,0.7671373,서울 서대문구 대현동 104-15
색동저고리 마포점,한식,3.5198789,서울 마포구 도화동 179-3,그로토,서울 마포구 도화동 184-22,3.509666,이봉창의사역사울림관,서울 용산구 효창동 286-7,마포전골목,서울 마포구 공덕동,그랜드 머큐어 앰배서더 호텔 앤 레지던스 서울용산,호텔,3.5025501,서울 용산구 한강로3가 40-969
부산갈매기,한식,3.5198789,서울 마포구 도화동 194-18,브랑쿠시,서울 용산구 용문동 28-65,3.5096657,식민지역사박물관,서울 용산구 청파동2가 42-8,노고산,서울 마포구 대흥동 산 1-30,가나모텔,모텔,0.7671373,서울 마포구 도화동 202-3
조선초가한끼,한식,3.5198789,서울 마포구 대흥동 802,후엘고,서울 마포구 염리동 128-8,3.5096657,서강대학교 메리홀 대극장,서울 마포구 신수동 1-1,이화52번가,서울 서대문구 대현동 33-9,서울드래곤시티,호텔,3.5025501,서울 용산구 한강로3가 40-969
함루,일식,tensor(3.3101),서울 마포구 공덕동 478,경성커피,서울 마포구 도화동 201-43,3.509666,우리두리교육문화원,서울 마포구 도화동 559,서울명예도로 순헌황귀비길,서울 용산구 청파동2가 54-1,호텔더디자이너스 서울역점,호텔,3.5025501,서울 용산구 갈월동 69-27
산동만두,중식,3.404685,서울 마포구 도화동 327-1,메가MGC커피 서울공덕초교점,서울 마포구 신공덕동 15-15,3.509666,숙명여자대학교 박물관,서울 용산구 청파동2가 144,공덕소담길,서울 마포구 공덕동,레인보우호텔,호텔,3.5025501,서울 용산구 갈월동 98-2
일일향 마포점,중식,3.404685,서울 마포구 도화동 179-2,브랑쿠시,서울 용산구 용문동 28-65,3.5096657,마포아트센터 스튜디오3,서울 마포구 대흥동 30-3,공덕시장족발골목,서울 마포구 공덕동 256-10,원효여관,모텔,0.7671373,서울 용산구 원효로2가 81-6
,,,,메가MGC커피 서울공덕초교점,서울 마포구 신공덕동 15-15,3.509666,식민지역사박물관,서울 용산구 청파동2가 42-8,공덕소담길,서울 마포구 공덕동,서울큐브이화,게스트하우스,tensor(1.4695),서울 마포구 염리동 9-124
SOUPER 마포,양식,3.1771817,서울 마포구 도화동 251-1,투썸플레이스 공덕풍림빌딩점,서울 마포구 공덕동 404,3.509666,캡션서울,서울 용산구 원효로1가 28-3,신촌이대거리,서울 서대문구 창천동,Y호텔,모텔,0.7671373,서울 마포구 노고산동 106-46
SOUPER 마포,양식,3.1771817,서울 마포구 도화동 251-1,스타벅스 마포용강동점,서울 마포구 용강동 112-2,3.509666,대원뮤지엄,서울 용산구 한강로3가 40-999,한강,서울 영등포구 여의도동,미성장모텔,모텔,0.7671373,서울 용산구 원효로2가 83-11
함루,일식,tensor(3.3101),서울 마포구 공덕동 478,경성커피,서울 마포구 도화동 201-43,3.509666,숙명여자대학교 한상은라운지,서울 용산구 청파동3가 115,소금길,서울 마포구 염리동 9-245,서울큐브이화,게스트하우스,tensor(1.4695),서울 마포구 염리동 9-124
함루,일식,tensor(3.3101),서울 마포구 공덕동 478,할리스 공덕점,서울 마포구 공덕동 462,3.509666,갤러리 워터마크,서울 용산구 도원동 3-2,열정도,서울 용산구 원효로1가 44-11,앰배서더호텔 노보텔스위트 서울용산,호텔,3.5025501,서울 용산구 한강로3가 40-969
외백,중식,3.404685,서울 마포구 도화동 343-1,투썸플레이스 마포역점,서울 마포구 도화동 37,3.509666,DGT아트센터,서울 마포구 염리동 172-15,도화동상점가,서울 마포구 도화동 179-5,서울큐브이화,게스트하우스,tensor(1.4695),서울 마포구 염리동 9-124
함루,일식,tensor(3.3101),서울 마포구 공덕동 478,투썸플레이스 마포역점,서울 마포구 도화동 37,3.509666,용산랜드홀,서울 용산구 한강로3가 16-9,도화동상점가,서울 마포구 도화동 179-5,서울드래곤시티,호텔,3.5025501,서울 용산구 한강로3가 40-969
산동만두,중식,3.404685,서울 마포구 도화동 327-1,스타벅스 공덕점,서울 마포구 공덕동 254-8,3.509666,우리두리교육문화원,서울 마포구 도화동 559,이화52번가,서울 서대문구 대현동 33-9,서울큐브이화,게스트하우스,tensor(1.4695),서울 마포구 염리동 9-124
SOUPER 마포,양식,3.1771817,서울 마포구 도화동 251-1,채그로카페,서울 마포구 마포동 388-5,3.509666,갤러리 더씨,서울 용산구 효창동 3-117,신촌피아노거리,서울 서대문구 창천동 30-16,원효여관,모텔,0.7671373,서울 용산구 원효로2가 81-6
함루,일식,tensor(3.3101),서울 마포구 공덕동 478,설빙 마포공덕점,서울 마포구 도화동 179-11,3.509666,CJ아지트 광흥창,서울 마포구 신정동 96-29,소금길,서울 마포구 염리동 9-245,브라운스위트호텔 신촌센트럴,호텔,3.5025501,서울 마포구 노고산동 57-26
여명,중식,3.404685,서울 마포구 도화동 181-2,스타벅스 공덕점,서울 마포구 공덕동 254-8,3.509666,예스24 원더로크홀,서울 서대문구 창천동 20-25,용마루길,서울 용산구 용문동 36-17,서울큐브이화,게스트하우스,tensor(1.4695),서울 마포구 염리동 9-124
,,,,비파티세리 공덕점,서울 마포구 공덕동 105-67,3.509666,DMZ문화원,서울 마포구 공덕동 404,열정도,서울 용산구 원효로1가 44-11,호텔 나루 서울 엠갤러리,호텔,3.5025501,서울 마포구 마포동 450
외백,중식,3.404685,서울 마포구 도화동 343-1,도화아파트먼트 마포,서울 마포구 도화동 346-2,3.509666,갤러리 워터마크,서울 용산구 도원동 3-2,공덕소담길,서울 마포구 공덕동,서울큐브이화,게스트하우스,tensor(1.4695),서울 마포구 염리동 9-124
,,,,투썸플레이스 공덕풍림빌딩점,서울 마포구 공덕동 404,3.509666,서강대학교 곤자가홀,서울 마포구 대흥동 22-60,노고산,서울 마포구 대흥동 산 1-30,가나모텔,모텔,0.7671373,서울 마포구 도화동 202-3
몽중헌 공덕점,중식,3.404685,서울 마포구 도화동 25-13,빽다방 공덕역롯데캐슬점,서울 마포구 공덕동 467,3.509666,마포아트센터 스튜디오3,서울 마포구 대흥동 30-3,한강,서울 영등포구 여의도동,서울큐브이화,게스트하우스,tensor(1.4695),서울 마포구 염리동 9-124
마포갈매기,한식,3.5198789,서울 마포구 도화동 194-8,스테이웰카페,서울 마포구 공덕동 476,3.509666,마포아트센터 갤러리맥,서울 마포구 대흥동 30-3,신촌대학탐방나들길,서울 서대문구 대현동,그랜드 머큐어 앰배서더 호텔 앤 레지던스 서울용산,호텔,3.5025501,서울 용산구 한강로3가 40-969
,,,,메가MGC커피 공덕오거리점,서울 마포구 도화동 181-1,3.5096655,마포아트센터 갤러리맥,서울 마포구 대흥동 30-3,열정도,서울 용산구 원효로1가 44-11,신촌월호텔,모텔,0.7671373,서울 서대문구 대현동 104-15
마포소문난원조족발,한식,3.5198789,서울 마포구 공덕동 256-11,경성커피,서울 마포구 도화동 201-43,3.509666,서강대학교 곤자가홀,서울 마포구 대흥동 22-60,아현동전골목,서울 마포구 아현동,서울큐브이화,게스트하우스,tensor(1.4695),서울 마포구 염리동 9-124
SOUPER 마포,양식,3.1771817,서울 마포구 도화동 251-1,스타벅스 마포일진빌딩점,서울 마포구 도화동 50-1,3.509666,숙명여자대학교 박물관,서울 용산구 청파동2가 144,밤섬,서울 영등포구 여의도동 84-3,미성장모텔,모텔,0.7671373,서울 용산구 원효로2가 83-11
탑클라우드23,양식,3.1771817,서울 마포구 공덕동 471,할리스 공덕점,서울 마포구 공덕동 462,3.509666,민주화운동기념관,서울 용산구 갈월동 98-8,한강,서울 영등포구 여의도동,피터캣,모텔,0.7671373,서울 마포구 노고산동 106-25
,,,,스타벅스 마포이마트점,서울 마포구 신공덕동 173,3.509666,민주화운동기념관,서울 용산구 갈월동 98-8,노고산,서울 마포구 대흥동 산 1-30,신촌월호텔,모텔,0.7671373,서울 서대문구 대현동 104-15
마포양지설렁탕,한식,3.5198789,서울 마포구 도화동 181-39,경성커피,서울 마포구 도화동 201-43,3.509666,마포아트센터 아트홀맥,서울 마포구 대흥동 30-3,삼거리꽃길,서울 서대문구 대현동,서울큐브이화,게스트하우스,tensor(1.4695),서울 마포구 염리동 9-124
모연,한식,3.5198789,서울 마포구 용강동 51-5,마타사,서울 마포구 도화동 1-352,3.509666,우리두리교육문화원,서울 마포구 도화동 559,밤섬,서울 영등포구 여의도동 84-3,피터캣,모텔,0.7671373,서울 마포구 노고산동 106-25
외백,중식,3.404685,서울 마포구 도화동 343-1,빽다방 공덕역롯데캐슬점,서울 마포구 공덕동 467,3.509666,숙명여자대학교 정영양자수박물관,서울 용산구 청파동2가 144,열정도,서울 용산구 원효로1가 44-11,서울큐브이화,게스트하우스,tensor(1.4695),서울 마포구 염리동 9-124
마포나루 아크로점,한식,3.5198789,서울 마포구 도화동 563,스타벅스 마포염리점,서울 마포구 염리동 168-9,3.509666,식민지역사박물관,서울 용산구 청파동2가 42-8,이대앞사주카페거리,서울 서대문구 대현동,서울큐브이화,게스트하우스,tensor(1.4695),서울 마포구 염리동 9-124
SOUPER 마포,양식,3.1771817,서울 마포구 도화동 251-1,할리스 공덕점,서울 마포구 공덕동 462,3.509666,KP갤러리온,서울 마포구 용강동 43-6,공덕소담길,서울 마포구 공덕동,서울큐브이화,게스트하우스,tensor(1.4695),서울 마포구 염리동 9-124
참나무본가 공덕점,한식,3.5198789,서울 마포구 공덕동 256-42,비로소커피,서울 마포구 신수동 85-19,3.509666,CJ아지트 광흥창,서울 마포구 신정동 96-29,마포전골목,서울 마포구 공덕동,가나모텔,모텔,0.7671373,서울 마포구 도화동 202-3
,,,,포멜로빈 공덕점,서울 마포구 공덕동 478,3.509666,숏서킷,서울 용산구 원효로2가 30-4,신촌피아노거리,서울 서대문구 창천동 30-16,롯데시티호텔 마포,호텔,3.5025501,서울 마포구 공덕동 467
마포오향족발,한식,3.5198789,서울 마포구 공덕동 256-10,프릳츠 도화점,서울 마포구 도화동 179-9,3.509666,예스24 원더로크홀,서울 서대문구 창천동 20-25,밤섬,서울 영등포구 여의도동 84-3,서울큐브이화,게스트하우스,tensor(1.4695),서울 마포구 염리동 9-124
아소정,한식,3.5198789,서울 마포구 염리동 149-9,투썸플레이스 공덕풍림빌딩점,서울 마포구 공덕동 404,3.509666,서강대학교 메리홀 대극장,서울 마포구 신수동 1-1,마포전골목,서울 마포구 공덕동,미성장모텔,모텔,0.7671373,서울 용산구 원효로2가 83-11
