음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
현명식탁,양식,3.209776,서울 서대문구 창천동 13-2,가비애,서울 마포구 서교동 337-3,3.6858726,(주)복합문화공간사이,서울 마포구 서교동 377-20,한강밤섬 철새조망대,서울 영등포구 여의도동 83-6,준게스트하우스,게스트하우스,1.8757547,서울 마포구 서교동 335-36
신촌서서갈비,한식,3.6435938,서울 마포구 노고산동 107-29,스타벅스 서강대점,서울 마포구 신수동 63-14,3.6858723,뮤직쇼웨딩,서울 마포구 서교동 357-4,홍대벽화거리,서울 마포구 상수동 88-23,호텔밀하우스,호텔,3.6051664,서울 서대문구 창천동 29-56
현명식탁,양식,3.209776,서울 서대문구 창천동 13-2,가비애,서울 마포구 서교동 337-3,3.6858726,북아현문화체육센터 아트홀,서울 서대문구 북아현동 1012-2,안산,서울 서대문구 봉원동 산 1,바론드호텔,모텔,0.69906217,서울 서대문구 창천동 29-11
니즈버거 신촌점,양식,3.209776,서울 마포구 창전동 2-48,앤디스커피,서울 마포구 서교동 330-19,3.6858723,북아현문화체육센터 아트홀,서울 서대문구 북아현동 1012-2,안산자락길,서울 서대문구 봉원동,신촌시스터즈호스텔,게스트하우스,1.8757547,서울 마포구 노고산동 106-105
스아게K,일식,3.4015756,서울 마포구 서교동 334-23,독수리다방,서울 서대문구 창천동 31-4,3.6858723,뮤직쇼웨딩,서울 마포구 서교동 357-4,망원 초록길,서울 마포구 망원동 218-7,홀리데이인익스프레스 서울홍대,호텔,3.6051664,서울 마포구 동교동 192-45
기꾸스시,일식,3.4015756,서울 서대문구 창천동 72-23,스타벅스 신촌명물거리점,서울 서대문구 창천동 13-19,3.6858723,서울생활문화센터 서교스퀘어,서울 마포구 서교동 494,한강공원 해넘이전망대,서울 영등포구 여의도동 84-6,호텔가을,모텔,0.69906217,서울 서대문구 창천동 29-41
꼬숑돈까스,일식,3.4015756,서울 서대문구 창천동 31-26,써밋컬쳐 신촌점,서울 마포구 노고산동 56-15,3.6858723,복합문화공간 몽향,서울 서대문구 창천동 62-11,홍대벽화거리,서울 마포구 상수동 88-23,H에비뉴호텔 신촌이대점,호텔,3.6051664,서울 마포구 노고산동 1-74
,,,,독수리다방,서울 서대문구 창천동 31-4,3.6858723,뮤직쇼웨딩,서울 마포구 서교동 357-4,석진숲,서울 영등포구 여의도동 85-6,라이즈 오토그래프 컬렉션,호텔,3.6051664,서울 마포구 서교동 354-5
을밀대 본점,한식,3.6435938,서울 마포구 염리동 147-6,땡스네이쳐,서울 마포구 서교동 486,3.6858723,뮤직쇼웨딩,서울 마포구 서교동 357-4,홍대땡땡거리,서울 마포구 동교동 190-1,테마모텔,모텔,0.69906217,서울 서대문구 창천동 112-15
춘천집닭갈비막국수,한식,3.6435938,서울 서대문구 창천동 57-8,원신카페인서울,서울 마포구 서교동 325-25,3.6858723,복합문화공간 몽향,서울 서대문구 창천동 62-11,서울명예도로 노벨길(경의선숲길 홍대입구역방면),서울 마포구 동교동 190-66,신촌시스터즈호스텔,게스트하우스,1.8757547,서울 마포구 노고산동 106-105
라구식당,양식,3.209776,서울 서대문구 창천동 2-44,나비카페,서울 마포구 노고산동 31-208,3.6858723,(주)복합문화공간사이,서울 마포구 서교동 377-20,석진숲,서울 영등포구 여의도동 85-6,신촌시스터즈호스텔,게스트하우스,1.8757547,서울 마포구 노고산동 106-105
벽제갈비 신촌점,한식,3.6435938,서울 서대문구 창천동 13-20,원신카페인서울,서울 마포구 서교동 325-25,3.6858723,뮤직쇼웨딩,서울 마포구 서교동 357-4,샤이니숲,서울 영등포구 여의도동 82-9,신촌시스터즈호스텔,게스트하우스,1.8757547,서울 마포구 노고산동 106-105
스아게K,일식,3.4015756,서울 마포구 서교동 334-23,메가MGC커피 신촌점,서울 서대문구 창천동 31-40,3.6858723,(주)복합문화공간사이,서울 마포구 서교동 377-20,한강밤섬 철새조망대,서울 영등포구 여의도동 83-6,브라운스위트호텔 신촌센트럴,호텔,3.6051664,서울 마포구 노고산동 57-26
니즈버거 신촌점,양식,3.209776,서울 마포구 창전동 2-48,커피빈 신촌점,서울 서대문구 창천동 18-29,3.6858723,서울생활문화센터 서교스퀘어,서울 마포구 서교동 494,여의도생태순환길,서울 영등포구 여의도동 84,성도모텔,모텔,0.69906217,서울 마포구 노고산동 106-77
