음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
서울부띠끄,양식,3.1644478,서울 중구 만리동1가 62-1,투썸플레이스 마포대흥점,서울 마포구 대흥동 16-66,3.723715,이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1,공덕소담길,서울 마포구 공덕동,테마모텔,모텔,0.6523689,서울 서대문구 냉천동 164
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,스타벅스 애오개역점,서울 마포구 아현동 738,3.723715,경찰박물관,서울 종로구 행촌동 211-1,연세로,서울 서대문구 창천동,K그랜드호텔 서울,호텔,3.659534,서울 용산구 동자동 43-59
,,,,카페침묵,서울 서대문구 북아현동 156-14,3.7237153,마포아트센터 갤러리맥,서울 마포구 대흥동 30-3,이대앞사주카페거리,서울 서대문구 대현동,랑호텔,모텔,0.6523689,서울 중구 중림동 128-40
,,,,메가MGC커피 이대점,서울 서대문구 대현동 54-11,3.723715,북아현문화체육센터 아트홀,서울 서대문구 북아현동 1012-2,남대문갈치조림골목,서울 중구 남창동 34-155,서울큐브이화,게스트하우스,1.9375342,서울 마포구 염리동 9-124
북성해장국,한식,3.7003355,서울 서대문구 북아현동 154-1,스타벅스 이대역점,서울 서대문구 대현동 45-8,3.723715,이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1,마포갈매기골목,서울 마포구 도화동 169-3,서울큐브이화,게스트하우스,1.9375342,서울 마포구 염리동 9-124
곱창파는고깃집,한식,3.7003355,서울 마포구 아현동 618-19,메가MGC커피 아현중앙점,서울 마포구 아현동 347-1,3.7237153,추계예술대학교 콘서트홀,서울 서대문구 북아현동 190-1,덕수궁산책길,서울 종로구 신문로2가,서울큐브이화,게스트하우스,1.9375342,서울 마포구 염리동 9-124
가야가야 이대점,일식,3.3826594,서울 서대문구 대현동 56-21,티앙팡 오후에 홍차 1호점,서울 서대문구 대현동 54-4,3.723715,이화여자대학교 삼성홀,서울 서대문구 대현동 11-1,덕수궁 즉조당,서울 중구 정동 5-1,필스테이 이화부띠끄점,게스트하우스,1.9375342,서울 서대문구 대현동 56-126
원조봉순게장,한식,3.7003355,서울 서대문구 충정로3가 480,머스타드,서울 마포구 염리동 9-54,3.7237153,아트스페이스 라프,서울 서대문구 북아현동 177-1,동네골목길관광코스 7코스(교남동),서울 종로구 사직동,신라스테이 마포,호텔,3.659534,서울 마포구 도화동 570
서울부띠끄,양식,3.1644478,서울 중구 만리동1가 62-1,밀랑스,서울 마포구 대흥동 2-30,3.723715,경찰박물관,서울 종로구 행촌동 211-1,염천교수제화거리,서울 중구 의주로2가 61-23,프레이저플레이스 남대문서울,호텔,3.659534,서울 중구 남대문로4가 17-7
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,컴포즈커피 북아현점,서울 서대문구 북아현동 1015,3.723715,경향아트힐,서울 중구 정동 22,정동전망대,서울 중구 서소문동 37,K그랜드호텔 서울,호텔,3.659534,서울 용산구 동자동 43-59
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,스타벅스 애오개역점,서울 마포구 아현동 738,3.723715,상상헌,서울 서대문구 북아현동 3-134,남대문칼국수골목,서울 중구 남창동 60-3,서울큐브이화,게스트하우스,1.9375342,서울 마포구 염리동 9-124
만리재비스트로,양식,3.1644478,서울 중구 만리동1가 62-11,티앙팡 오후에 홍차 1호점,서울 서대문구 대현동 54-4,3.723715,예스24 원더로크홀,서울 서대문구 창천동 20-25,고종의길,서울 중구 정동 10-1,H에비뉴호텔 신촌이대점,호텔,3.659534,서울 마포구 노고산동 1-74
만리재비스트로,양식,3.1644478,서울 중구 만리동1가 62-11,디저트39 북아현점,서울 서대문구 북아현동 154-5,3.723715,페인터즈 NH아트홀 전용관,서울 중구 충정로1가 85,남대문갈치조림골목,서울 중구 남창동 34-155,호텔엘리,모텔,0.6523689,서울 서대문구 대현동 110-35
만리재비스트로,양식,3.1644478,서울 중구 만리동1가 62-11,스타벅스 이대R점,서울 서대문구 대현동 54-4,3.723715,농협중앙회 쌀박물관,서울 중구 충정로1가 81-3,서울명예도로 순헌황귀비길,서울 용산구 청파동2가 54-1,데이빗하우스 이화,게스트하우스,1.9375342,서울 서대문구 대현동 56-49
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,스타벅스 충정타워점,서울 서대문구 충정로3가 464,3.723715,구세군아트홀,서울 서대문구 충정로3가 476,도화동상점가,서울 마포구 도화동 179-5,금강모텔,모텔,0.6523689,서울 용산구 서계동 229-3
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,푸링,서울 마포구 아현동 699,3.723715,경향아트힐,서울 중구 정동 22,남대문갈치조림골목,서울 중구 남창동 34-155,서울큐브이화,게스트하우스,1.9375342,서울 마포구 염리동 9-124
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,공차 아현역점,서울 서대문구 북아현동 1015,3.723715,경향아트힐,서울 중구 정동 22,남대문갈치조림골목,서울 중구 남창동 34-155,디케이하우스,게스트하우스,1.9375342,서울 서대문구 대현동 90-37
만리재비스트로,양식,3.1644478,서울 중구 만리동1가 62-11,메가MGC커피 아현중앙점,서울 마포구 아현동 347-1,3.7237153,농협중앙회 쌀박물관,서울 중구 충정로1가 81-3,도화동상점가,서울 마포구 도화동 179-5,신촌월호텔,모텔,0.6523689,서울 서대문구 대현동 104-15
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,스타벅스 충정타워점,서울 서대문구 충정로3가 464,3.723715,이화여자대학교 김영의홀,서울 서대문구 대현동 11-1,경희궁 숭정전,서울 종로구 신문로2가 2-1,호텔엘리,모텔,0.6523689,서울 서대문구 대현동 110-35
,,,,스타벅스 이대역점,서울 서대문구 대현동 45-8,3.723715,이화아트센터,서울 서대문구 대현동 11-1,이화52번가,서울 서대문구 대현동 33-9,유에이치스위트 더서울,호텔,3.659534,서울 중구 만리동1가 33-1
,,,,공차 아현역점,서울 서대문구 북아현동 1015,3.723715,그라운드시소 센트럴,서울 중구 남대문로5가 831,노고산,서울 마포구 대흥동 산 1-30,비욘드스위트,호텔,3.659534,서울 서대문구 대현동 101-9
