음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
현명식탁,양식,3.0544405,서울 서대문구 창천동 13-2,문베어,서울 서대문구 창천동 5-21,3.7692275,한예진아트홀,서울 서대문구 대현동 67-11,도화동상점가,서울 마포구 도화동 179-5,에버8,호텔,3.7650409,서울 서대문구 대현동 104-5
효동각 본점,중식,3.5214744,서울 서대문구 대신동 50-2,티앙팡 오후에 홍차 1호점,서울 서대문구 대현동 54-4,3.7692275,201P,서울 서대문구 창천동 52-56,공덕시장족발골목,서울 마포구 공덕동 256-10,H에비뉴호텔 신촌이대점,호텔,3.7650409,서울 마포구 노고산동 1-74
가야가야 이대점,일식,3.3172212,서울 서대문구 대현동 56-21,꽃피다이화다방,서울 서대문구 대현동 37-1,3.7692275,추계예술대학교 콘서트홀,서울 서대문구 북아현동 190-1,마포갈매기골목,서울 마포구 도화동 169-3,브라운스위트호텔 신촌센트럴,호텔,3.7650409,서울 마포구 노고산동 57-26
이빠네마그릴,양식,3.0544405,서울 서대문구 창천동 18-11,미스터힐링 신촌점,서울 서대문구 창천동 20-51,3.7692275,마포아트센터 갤러리맥,서울 마포구 대흥동 30-3,마포갈매기골목,서울 마포구 도화동 169-3,디케이하우스,게스트하우스,2.0114238,서울 서대문구 대현동 90-37
꼬숑돈까스,일식,3.3172212,서울 서대문구 창천동 31-26,커피크레페 본점,서울 서대문구 창천동 30-10,3.7692275,한국미술관,서울 서대문구 대현동 145,홍대땡땡거리,서울 마포구 동교동 190-1,디케이하우스,게스트하우스,2.0114238,서울 서대문구 대현동 90-37
현명식탁,양식,3.0544405,서울 서대문구 창천동 13-2,북카페파오,서울 서대문구 대현동 54-4,3.7692275,원픽홀,서울 마포구 노고산동 31-39,연세로,서울 서대문구 창천동,필스테이 이화부띠끄점,게스트하우스,2.0114238,서울 서대문구 대현동 56-126
고삼이 신촌점,한식,3.8059044,서울 서대문구 창천동 53-8,원앤온리커피,서울 서대문구 대현동 37-7,3.7692275,한국미술관,서울 서대문구 대현동 145,마포음식문화거리,서울 마포구 용강동 45-15,피터캣,모텔,0.58224434,서울 마포구 노고산동 106-25
복성각,중식,3.5214744,서울 서대문구 창천동 31-8,댓커피,서울 마포구 노고산동 19-52,3.7692275,모두예술극장,서울 서대문구 충정로3가 476,홍대벽화거리,서울 마포구 상수동 88-23,서울큐브이화,게스트하우스,2.0114238,서울 마포구 염리동 9-124
벽제갈비 신촌점,한식,3.8059044,서울 서대문구 창천동 13-20,에버라인 뮤직&카페,서울 서대문구 대현동 110-2,3.7692275,이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1,신촌피아노거리,서울 서대문구 창천동 30-16,신라스테이 마포,호텔,3.7650409,서울 마포구 도화동 570
완차이,중식,3.5214744,서울 서대문구 창천동 5-35,카페문,서울 서대문구 대현동 53-29,3.7692275,마포아트센터 아트홀맥,서울 마포구 대흥동 30-3,홍대벽화거리,서울 마포구 상수동 88-23,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,2.0114238,서울 서대문구 창천동 31-92
