name,address
홍대걷고싶은거리,서울 마포구 서교동 348-40
빚다도예공방 홍대점,서울 마포구 상수동 329-6
홍대예술의거리,서울 마포구 서교동
손나은숲,서울 마포구 상암동 1535
망리단길,서울 마포구 망원동
평화의공원 난지연못,서울 마포구 성산동
서울명예도로 노벨길(경의선숲길 홍대입구역방면),서울 마포구 동교동 190-66
합마르뜨,서울 마포구 합정동 404
성산,서울 마포구 성산동
와우산,서울 마포구 창전동 3-243
홍대축제거리,서울 마포구 서교동 365-28
브라이트룸,서울 마포구 망원동 422-4
홍대예술의거리 나들길,서울 마포구 창전동
스머프 매직 포레스트 홍대점,서울 마포구 동교동 170-12
서울도보관광코스 한강~절두산코스,서울 마포구 합정동
홍대벽화거리,서울 마포구 상수동 88-23
서울명예도로 노벨길(경의선숲길 연남동방면),서울 마포구 동교동 172-6
선유도공원 선유도전망대,서울 영등포구 당산동 1
정용화숲,서울 마포구 상암동 1535
선유도 공원 수생식물원,서울 영등포구 당산동 1
홍대땡땡거리,서울 마포구 동교동 190-1
새터산,서울 마포구 성산동 산 37-1
홍대클럽거리,서울 마포구 서교동 361-12
박시환숲,서울 마포구 상암동 1535
망원 초록길,서울 마포구 망원동 218-7
선유도공원 자생습초지,서울 영등포구 양화동 56
홍대패션거리,서울 마포구 서교동 348-78
선유도공원 시간의정원,서울 영등포구 당산동 1
선유도공원 온실,서울 영등포구 당산동 1
