"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모"
"3130000","CDFI2262212024000081","2024-04-26","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 서교동 384-21","서울특별시 마포구 동교로12길 43, 101호 (서교동)","04035","셀비어 하우스1","2024-04-26 15:42:37","I","2023-12-03 22:08:00.0","","192238.381164371","450012.338120395","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212022000054","2022-08-29","","03","폐업","03","폐업","2024-02-15","","","","","","","서울특별시 마포구 서교동 481-9","서울특별시 마포구 동교로 110, 1~2층 (서교동)","04029","파스텔","2024-02-15 09:20:55","U","2023-12-01 23:07:00.0","","192350.383488499","450253.621665153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000034","2024-02-19","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 망원동 414-94","서울특별시 마포구 망원로 76, 4층 (망원동)","04010","린드세이","2024-02-19 10:19:06","I","2023-12-01 22:01:00.0","","191565.415757714","450560.591359126","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000035","2024-02-22","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 연남동 244-5","서울특별시 마포구 동교로51길 109-4, 101호 (연남동)","03979","반달 하우스","2024-02-22 09:27:48","I","2023-12-01 22:04:00.0","","192935.244416206","451544.503791387","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000036","2024-02-22","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 염리동 128-65","서울특별시 마포구 마포대로11가길 21, 302호 (염리동)","04140","초록스테이공덕","2024-02-22 09:37:32","I","2023-12-01 22:04:00.0","","195492.531315119","449516.003453107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000037","2024-02-22","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 합정동 386-35","서울특별시 마포구 월드컵로5길 33-17, 1층 (합정동)","04025","하우스 386","2024-02-22 09:33:23","I","2023-12-01 22:04:00.0","","192056.271679527","449865.650275637","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000038","2024-02-28","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 연남동 224-22","서울특별시 마포구 동교로 278-1, 2층 301호 (연남동)","03981","스테이 위드 연남","2024-02-28 16:32:44","I","2023-12-03 00:01:00.0","","193438.196497438","451311.72415705","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000039","2024-02-29","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 망원동 396-43","서울특별시 마포구 희우정로 82-3, 1층 (망원동)","04017","STAY 1977","2024-02-29 13:24:05","I","2023-12-03 00:02:00.0","","191406.667795609","450118.966460247","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000041","2024-03-08","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 동교동 154-21","서울특별시 마포구 양화로19길 20 (동교동)","03994","미성 게스트하우스","2024-03-08 16:13:55","I","2023-12-02 23:00:00.0","","193215.96228208","450681.443815072","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000040","2024-03-08","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 노고산동 19-5","서울특별시 마포구 백범로1길 78-4, 3층 (노고산동)","04103","SG게스트하우스","2024-03-08 14:54:41","I","2023-12-02 23:00:00.0","","194715.764540792","450383.423009135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212023000156","2023-11-09","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 연남동 366-34 이조빌라","서울특별시 마포구 연남로9길 5, 1층 201호 (연남동, 이조빌라)","03975","알마수아베","2024-03-08 16:15:51","U","2023-12-02 23:00:00.0","","192802.825779934","451405.662018474","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000063","2024-04-08","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 서교동 328-10","서울특별시 마포구 와우산로29길 14-29, 1층 (서교동)","04052","Soluna Guest house 2","2024-04-08 13:47:33","I","2023-12-03 23:01:00.0","","193650.566547276","450346.294535892","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000064","2024-04-08","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 대흥동 22-67","서울특별시 마포구 대흥로 145-5, 101호 (대흥동)","04106","서강제이스테이","2024-04-18 17:03:08","U","2023-12-03 22:00:00.0","","195060.080286809","450019.046354208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000062","2024-04-08","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 연남동 370-25","서울특별시 마포구 연남로7길 20-7, 201호 (연남동)","03975","마리하우스2","2024-04-08 13:45:42","I","2023-12-03 23:01:00.0","","192764.323710884","451304.930619375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000043","2024-03-12","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 망원동 424-35","서울특별시 마포구 망원로7길 17-12, 지층 2호 (망원동)","03964","카키하우스","2024-03-14 13:20:58","U","2023-12-02 23:06:00.0","","191521.453183507","450664.093180311","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000042","2024-03-12","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 서교동 247-150","서울특별시 마포구 월드컵로20길 66, 102호 (서교동)","03997","H mansion","2024-03-14 13:13:37","U","2023-12-02 23:06:00.0","","192209.66250947","450649.01080186","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000069","2024-04-16","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 성산동 200-339","서울특별시 마포구 새터산9길 19, 201호 (성산동)","03939","마포스테이","2024-04-16 11:30:23","I","2023-12-03 23:08:00.0","","191626.175605564","451491.440479701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000087","2024-05-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 성산동 36-33 다온숲","서울특별시 마포구 월드컵북로12길 79, 602호 (성산동, 다온숲)","03973","다온숲602","2024-05-02 10:11:30","I","2023-12-05 00:04:00.0","","192418.416685417","451369.299199787","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000093","2024-05-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 상수동 86-45","서울특별시 마포구 와우산로22길 54, 2층 301호 (상수동)","04067","단밤스테이","2024-05-02 18:35:02","I","2023-12-05 00:04:00.0","","193220.948234843","449769.804832608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000092","2024-05-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 동교동 187-21","서울특별시 마포구 신촌로10길 22-10, 301호 (동교동)","04057","hyuk House","2024-05-02 18:34:51","I","2023-12-05 00:04:00.0","","193883.723411461","450370.923312146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000044","2024-03-15","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 연남동 487-51","서울특별시 마포구 성미산로17길 59, 102호 (연남동)","03974","고요한 연남","2024-03-15 10:53:03","I","2023-12-02 23:07:00.0","","192638.218911978","451316.018878936","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000045","2024-03-15","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 연남동 487-51","서울특별시 마포구 성미산로17길 59, 2층 (연남동)","03974","J-Park Story","2024-03-15 10:55:24","I","2023-12-02 23:07:00.0","","192638.218911978","451316.018878936","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000085","2024-05-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 염리동 9-40","서울특별시 마포구 숭문16가길 6, 지층 (염리동)","04122","아느케","2024-05-02 10:07:01","I","2023-12-05 00:04:00.0","","195244.72091441","450369.239999446","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000086","2024-05-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 당인동 24-13 대도빌라","서울특별시 마포구 어울마당로2길 20, 4층 503호 (당인동, 대도빌라)","04074","Sangsu Stay","2024-05-02 10:09:09","I","2023-12-05 00:04:00.0","","192877.463712602","449299.591983108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000088","2024-05-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 성산동 36-33 다온숲","서울특별시 마포구 월드컵북로12길 79, 503호 (성산동, 다온숲)","03973","다온숲503","2024-05-02 10:12:46","I","2023-12-05 00:04:00.0","","192418.416685417","451369.299199787","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000089","2024-05-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 동교동 170-9","서울특별시 마포구 양화로18안길 40-4, 1층 (동교동)","04051","RSJ 하우스","2024-05-02 10:15:05","I","2023-12-05 00:04:00.0","","193461.229940019","450525.670086053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000090","2024-05-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 성산동 200-339","서울특별시 마포구 새터산9길 19, 202호 (성산동)","03939","아이스블루 스테이","2024-05-02 18:34:25","I","2023-12-05 00:04:00.0","","191626.175605564","451491.440479701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000091","2024-05-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 서교동 330-49 홍익예림빌라","서울특별시 마포구 와우산로29길 56-9, 101호 (서교동, 홍익예림빌라)","04052","봄 스테이","2024-05-02 18:34:40","I","2023-12-05 00:04:00.0","","193497.251283758","450460.744615177","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000065","2024-04-16","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 망원동 418-22","서울특별시 마포구 망원로 22, 4~5층 (망원동)","04007","엔에이치엠 컴퍼니","2024-04-16 11:12:25","I","2023-12-03 23:08:00.0","","191037.166319078","450424.489251711","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212024000066","2024-04-16","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 망원동 57-370","서울특별시 마포구 월드컵로23길 15, 지층 101호 (망원동)","04012","June Stay","2024-04-16 11:18:21","I","2023-12-03 23:08:00.0","","191804.962082947","450536.174622538","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
